,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours
78,female,group D,some high school,standard,completed,61,74,72,divorced,sometimes,yes,0,private,05-Oct
79,female,group E,master's degree,standard,none,62,68,68,married,sometimes,yes,,school_bus,< 5
80,female,group B,associate's degree,standard,none,47,49,50,single,sometimes,yes,0,private,05-Oct
81,male,group B,high school,free/reduced,none,49,45,45,divorced,regularly,yes,3,school_bus,< 5
82,male,group A,some college,free/reduced,completed,50,47,54,single,sometimes,yes,,private,> 10
83,male,group E,associate's degree,standard,none,72,64,63,divorced,regularly,no,4,,05-Oct
84,male,group D,high school,free/reduced,none,42,39,34,divorced,sometimes,no,1,,< 5
85,female,group C,some college,standard,none,73,80,82,married,regularly,no,3,private,> 10
86,female,group C,some college,free/reduced,none,76,83,88,married,regularly,yes,4,private,05-Oct
87,female,group D,associate's degree,standard,none,71,71,74,married,regularly,yes,5,school_bus,05-Oct
88,female,group A,some college,standard,none,58,70,67,married,never,yes,0,school_bus,< 5
89,female,group D,some high school,standard,none,73,86,82,single,regularly,yes,2,,> 10
90,female,group C,bachelor's degree,standard,none,65,72,74,married,regularly,yes,3,school_bus,< 5
91,male,group C,high school,free/reduced,none,27,34,36,married,sometimes,no,7,school_bus,05-Oct
92,male,group C,high school,standard,none,71,79,71,single,sometimes,no,1,private,05-Oct
93,male,group C,associate's degree,free/reduced,completed,43,45,50,married,regularly,yes,3,school_bus,05-Oct
94,female,group B,some college,standard,none,79,86,92,married,regularly,no,3,school_bus,05-Oct
95,male,group C,associate's degree,free/reduced,completed,78,81,82,married,regularly,yes,1,school_bus,> 10
96,male,group B,some high school,standard,completed,65,66,62,married,sometimes,yes,0,school_bus,05-Oct
97,female,group E,some college,standard,completed,63,72,70,married,sometimes,no,3,private,05-Oct
98,female,group D,some college,free/reduced,none,58,67,62,single,sometimes,yes,0,school_bus,05-Oct
99,female,group D,bachelor's degree,standard,none,65,67,62,married,sometimes,yes,2,school_bus,05-Oct
100,male,group B,some college,standard,none,79,67,67,single,regularly,no,3,school_bus,05-Oct
101,male,group D,bachelor's degree,standard,completed,68,74,74,single,sometimes,yes,4,school_bus,> 10
102,female,group D,associate's degree,standard,none,85,91,89,single,regularly,no,6,,05-Oct
103,male,group B,high school,standard,completed,60,44,47,married,sometimes,yes,0,school_bus,05-Oct
104,male,group C,some college,standard,completed,98,86,90,married,never,yes,1,school_bus,< 5
105,female,group C,some college,standard,none,58,67,72,married,regularly,yes,3,school_bus,< 5
106,female,group D,master's degree,standard,none,87,100,100,married,sometimes,yes,4,private,05-Oct
107,male,group E,associate's degree,standard,completed,66,63,64,single,never,no,1,school_bus,05-Oct
108,female,group B,associate's degree,free/reduced,none,52,76,70,married,never,no,2,private,05-Oct
109,female,group B,some high school,standard,none,70,64,72,single,regularly,yes,0,private,> 10
110,female,group D,associate's degree,free/reduced,completed,77,89,98,divorced,sometimes,no,3,school_bus,05-Oct
111,male,group C,high school,standard,none,62,55,49,married,never,yes,1,school_bus,05-Oct
112,male,group A,associate's degree,standard,none,54,53,47,married,sometimes,yes,3,school_bus,< 5
113,female,group D,some college,standard,none,51,58,54,single,regularly,yes,1,,05-Oct
114,female,group E,bachelor's degree,standard,completed,99,100,100,married,sometimes,no,3,private,
115,male,group C,high school,standard,none,84,77,74,single,regularly,no,3,school_bus,< 5
116,female,group B,bachelor's degree,free/reduced,none,75,85,82,single,never,yes,2,school_bus,> 10
117,female,group D,bachelor's degree,standard,none,78,82,79,married,,no,3,private,05-Oct
118,female,group D,some high school,standard,none,51,63,61,married,regularly,no,3,school_bus,< 5
119,female,group C,some college,standard,none,55,69,65,single,never,yes,2,private,< 5
120,female,group C,bachelor's degree,standard,completed,79,92,89,,regularly,yes,0,school_bus,05-Oct
121,male,group B,associate's degree,standard,completed,91,89,92,single,sometimes,no,1,school_bus,< 5
122,female,group C,some college,standard,completed,88,93,93,single,regularly,yes,1,private,< 5
123,male,group D,high school,free/reduced,none,63,57,56,married,regularly,yes,2,school_bus,05-Oct
124,male,group E,some college,standard,none,83,80,73,married,never,no,6,,< 5
125,female,group B,high school,standard,none,87,95,86,married,sometimes,yes,1,private,> 10
126,male,group B,some high school,standard,none,72,68,67,married,sometimes,yes,1,,< 5
127,male,group D,some college,standard,completed,65,77,74,divorced,sometimes,yes,1,private,05-Oct
128,male,group D,master's degree,standard,none,82,82,74,divorced,sometimes,yes,0,school_bus,< 5
129,female,group A,bachelor's degree,standard,none,51,49,51,married,sometimes,yes,1,private,05-Oct
130,male,group D,master's degree,standard,none,89,84,82,married,sometimes,yes,0,private,> 10
131,male,group C,some high school,free/reduced,completed,53,37,40,married,sometimes,no,1,school_bus,05-Oct
132,male,group E,some college,free/reduced,completed,87,74,70,married,regularly,no,2,private,05-Oct
133,female,group C,some college,standard,completed,75,81,84,single,regularly,,1,private,< 5
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75,single,sometimes,no,1,school_bus,05-Oct
135,male,group C,bachelor's degree,standard,none,58,55,48,divorced,sometimes,yes,3,private,> 10
136,male,group B,some high school,standard,completed,51,54,41,single,regularly,yes,1,school_bus,< 5
137,male,group E,high school,standard,none,70,55,56,married,sometimes,yes,1,private,< 5
138,female,group C,associate's degree,standard,none,59,66,67,married,regularly,no,3,private,05-Oct
139,male,group D,some college,standard,completed,71,61,69,married,sometimes,no,2,private,05-Oct
140,female,group D,some high school,standard,none,76,72,71,single,sometimes,yes,2,school_bus,< 5
141,female,group C,some college,free/reduced,none,59,62,64,married,sometimes,no,1,,05-Oct
142,female,group E,some college,free/reduced,completed,42,55,54,single,never,no,2,,< 5
143,male,group A,high school,standard,none,57,43,47,married,regularly,yes,3,school_bus,< 5
144,male,group D,some college,standard,none,88,73,78,married,regularly,yes,1,school_bus,05-Oct
145,female,group C,some college,free/reduced,none,22,39,33,,sometimes,yes,2,school_bus,< 5
146,male,group B,some high school,standard,none,88,84,75,divorced,regularly,yes,2,private,05-Oct
147,male,group C,associate's degree,free/reduced,none,73,68,66,married,regularly,no,3,school_bus,> 10
148,female,group D,bachelor's degree,standard,completed,68,75,81,single,sometimes,yes,2,private,05-Oct
149,male,group E,associate's degree,free/reduced,completed,100,100,93,married,sometimes,yes,3,school_bus,05-Oct
150,male,group A,some high school,standard,completed,62,67,69,single,never,no,2,school_bus,05-Oct
151,male,group A,bachelor's degree,standard,none,77,67,68,divorced,sometimes,yes,1,school_bus,05-Oct
152,female,group B,associate's degree,standard,completed,59,70,66,married,never,yes,3,private,< 5
153,male,group D,bachelor's degree,standard,none,54,49,47,married,sometimes,yes,0,school_bus,05-Oct
154,male,group D,some high school,standard,none,62,67,61,single,sometimes,yes,5,private,05-Oct
155,female,group C,some college,standard,completed,70,89,88,married,regularly,no,1,private,> 10
156,female,group E,high school,free/reduced,completed,66,74,78,married,regularly,yes,2,private,05-Oct
157,male,group B,some college,free/reduced,none,60,60,60,divorced,regularly,yes,5,school_bus,> 10
158,female,group B,associate's degree,standard,completed,61,86,87,married,sometimes,no,3,school_bus,< 5
159,male,group D,associate's degree,free/reduced,none,66,62,64,single,never,yes,3,school_bus,05-Oct
160,male,group B,associate's degree,free/reduced,completed,82,78,74,married,sometimes,yes,2,school_bus,05-Oct
161,female,group E,some college,free/reduced,completed,75,88,85,married,sometimes,no,1,school_bus,< 5
162,male,group B,master's degree,free/reduced,none,49,53,52,divorced,sometimes,yes,1,school_bus,05-Oct
163,male,group C,high school,standard,none,52,53,49,married,sometimes,no,2,school_bus,< 5
164,female,group E,master's degree,standard,none,81,92,91,married,regularly,yes,,school_bus,< 5
165,female,group C,bachelor's degree,standard,completed,96,100,100,divorced,regularly,yes,2,school_bus,05-Oct
166,male,group C,high school,free/reduced,completed,53,51,51,divorced,regularly,yes,0,school_bus,05-Oct
167,female,group B,master's degree,free/reduced,completed,58,76,78,single,sometimes,yes,2,private,< 5
168,female,group B,high school,standard,completed,68,83,78,single,sometimes,yes,1,private,05-Oct
169,female,group C,some college,free/reduced,completed,67,75,70,married,sometimes,yes,3,private,
170,male,group A,high school,standard,completed,72,73,74,single,sometimes,no,,private,< 5
171,male,group E,some high school,standard,none,94,88,78,married,never,yes,5,private,< 5
172,female,group D,some college,standard,none,79,86,81,married,never,yes,1,school_bus,< 5
173,female,group C,associate's degree,standard,none,63,67,70,married,sometimes,no,4,private,05-Oct
174,female,group C,bachelor's degree,free/reduced,completed,43,51,54,married,regularly,no,3,school_bus,< 5
175,female,group C,master's degree,standard,completed,81,91,87,single,sometimes,yes,1,school_bus,< 5
176,female,group B,high school,free/reduced,completed,46,54,58,married,sometimes,yes,2,school_bus,05-Oct
177,female,group C,associate's degree,standard,completed,71,77,77,married,sometimes,no,2,school_bus,< 5
178,female,group B,master's degree,free/reduced,completed,52,70,62,single,sometimes,no,3,private,
179,female,group D,some high school,standard,completed,97,100,100,married,regularly,yes,4,,
180,male,group C,master's degree,free/reduced,completed,62,68,75,,regularly,yes,1,school_bus,< 5
181,female,group C,some college,free/reduced,none,46,64,66,married,regularly,no,4,school_bus,< 5
182,female,group E,high school,standard,none,50,50,47,married,never,yes,1,school_bus,05-Oct
183,female,group D,associate's degree,standard,none,65,69,70,married,,no,7,private,> 10
184,male,group C,some high school,free/reduced,completed,45,52,49,widowed,regularly,yes,3,,> 10
185,male,group C,associate's degree,free/reduced,completed,65,67,65,married,regularly,yes,3,private,05-Oct
186,male,group E,high school,standard,none,80,76,65,single,regularly,no,1,private,< 5
187,male,group D,some high school,standard,completed,62,66,68,divorced,sometimes,yes,3,school_bus,< 5
188,male,group B,some high school,free/reduced,none,48,52,45,married,sometimes,yes,2,school_bus,05-Oct
189,female,group C,bachelor's degree,standard,none,77,88,87,,regularly,yes,2,school_bus,05-Oct
190,female,group E,associate's degree,standard,none,66,65,69,single,regularly,yes,1,,< 5
191,male,group D,some college,standard,completed,76,83,79,married,,yes,,school_bus,< 5
192,female,group B,some high school,standard,none,62,64,66,married,regularly,yes,4,school_bus,05-Oct
193,male,group D,some college,standard,completed,77,62,62,married,regularly,no,2,school_bus,05-Oct
194,female,group C,master's degree,standard,completed,69,84,85,married,regularly,yes,1,private,< 5
195,male,group D,associate's degree,standard,none,61,55,52,single,sometimes,no,2,,
196,male,group C,some high school,free/reduced,completed,59,69,65,widowed,sometimes,yes,3,school_bus,< 5
197,male,group E,high school,free/reduced,none,55,56,51,married,sometimes,yes,3,school_bus,05-Oct
198,female,group B,some college,free/reduced,none,45,53,55,divorced,sometimes,yes,2,school_bus,05-Oct
199,female,group B,bachelor's degree,free/reduced,none,78,79,76,single,regularly,no,1,school_bus,05-Oct
200,female,group C,associate's degree,standard,completed,67,84,86,married,sometimes,yes,1,private,05-Oct
201,female,group D,some college,free/reduced,none,65,81,77,,regularly,no,2,private,05-Oct
202,male,group C,associate's degree,standard,none,69,77,69,married,sometimes,yes,3,school_bus,< 5
203,female,group B,associate's degree,standard,none,57,69,68,married,regularly,no,3,,< 5
204,male,group C,some college,standard,none,59,41,42,married,sometimes,no,2,school_bus,< 5
205,male,group D,some high school,standard,completed,74,71,78,single,never,no,1,,05-Oct
206,male,group E,bachelor's degree,standard,none,82,62,62,widowed,regularly,yes,4,school_bus,05-Oct
207,male,group E,high school,standard,completed,81,80,76,married,sometimes,yes,0,school_bus,> 10
208,female,group B,some college,free/reduced,none,74,81,76,divorced,sometimes,no,3,,05-Oct
209,female,group B,some college,free/reduced,none,58,61,66,married,regularly,no,3,school_bus,05-Oct
210,male,group D,some high school,free/reduced,completed,80,79,79,divorced,regularly,,3,school_bus,> 10
211,male,group C,some college,free/reduced,none,35,28,27,married,sometimes,no,,private,< 5
212,female,group C,high school,free/reduced,none,42,62,60,married,sometimes,yes,5,school_bus,05-Oct
213,male,group C,associate's degree,free/reduced,completed,60,51,56,single,regularly,yes,0,school_bus,05-Oct
214,male,group E,high school,standard,completed,87,91,81,divorced,sometimes,no,4,school_bus,05-Oct
215,male,group B,some high school,standard,completed,84,83,75,married,regularly,yes,3,school_bus,> 10
216,female,group E,associate's degree,free/reduced,completed,83,86,88,married,regularly,yes,0,,05-Oct
217,female,group C,high school,free/reduced,none,34,42,39,married,regularly,,1,private,05-Oct
218,male,group B,high school,free/reduced,none,66,77,70,married,sometimes,yes,2,school_bus,05-Oct
219,male,group B,some high school,standard,completed,61,56,56,divorced,sometimes,yes,3,school_bus,> 10
220,female,group D,high school,standard,completed,56,68,74,married,sometimes,no,3,school_bus,> 10
221,male,group B,associate's degree,standard,none,87,85,73,married,regularly,no,1,school_bus,> 10
222,female,group C,some high school,free/reduced,none,55,65,62,divorced,regularly,no,2,school_bus,< 5
223,male,group D,some high school,standard,none,86,80,75,married,sometimes,yes,4,school_bus,< 5
224,female,group B,associate's degree,standard,completed,52,66,73,married,regularly,yes,2,private,> 10
225,female,group E,master's degree,free/reduced,none,45,56,54,,sometimes,yes,1,private,05-Oct
226,female,group C,some college,standard,none,72,72,71,divorced,,yes,1,private,> 10
227,male,group D,high school,standard,none,57,50,54,single,regularly,no,4,private,05-Oct
228,male,group A,some high school,free/reduced,none,68,72,64,single,regularly,no,2,school_bus,< 5
229,female,group C,some college,standard,completed,88,95,94,divorced,regularly,yes,1,school_bus,< 5
230,male,group D,some college,standard,none,76,64,66,married,sometimes,no,3,private,< 5
231,male,group C,associate's degree,standard,none,46,43,42,married,regularly,no,2,school_bus,05-Oct
232,female,group B,bachelor's degree,standard,none,67,86,83,single,sometimes,yes,1,private,05-Oct
233,male,group E,some high school,standard,none,92,87,78,married,sometimes,yes,2,private,< 5
234,male,group C,bachelor's degree,standard,completed,83,82,84,married,sometimes,no,2,school_bus,> 10
235,male,group D,associate's degree,standard,none,80,75,77,single,sometimes,yes,2,school_bus,05-Oct
236,male,group D,bachelor's degree,free/reduced,none,63,66,67,married,regularly,,4,school_bus,< 5
237,female,group D,some high school,standard,completed,64,60,74,single,sometimes,yes,3,private,05-Oct
238,male,group B,some college,standard,none,54,52,51,married,sometimes,no,3,school_bus,
239,male,group C,associate's degree,standard,none,84,80,80,married,sometimes,yes,0,private,05-Oct
240,male,group D,high school,free/reduced,completed,73,68,66,single,sometimes,no,1,school_bus,05-Oct
241,female,group E,bachelor's degree,standard,none,80,83,83,single,sometimes,no,5,private,< 5
242,female,group D,high school,standard,none,56,52,55,married,regularly,,1,school_bus,05-Oct
243,male,group E,some college,standard,none,59,51,43,married,sometimes,yes,1,private,> 10
244,male,group D,some high school,standard,none,75,74,69,married,sometimes,no,2,school_bus,05-Oct
245,male,group C,associate's degree,standard,none,85,76,71,married,regularly,no,2,private,05-Oct
246,male,group E,associate's degree,standard,none,89,76,74,single,sometimes,yes,1,private,05-Oct
247,female,group B,high school,standard,completed,58,70,68,married,sometimes,no,2,private,05-Oct
248,female,group B,high school,standard,none,65,64,62,divorced,sometimes,no,1,school_bus,< 5
249,male,group C,high school,standard,none,68,60,53,married,sometimes,no,2,school_bus,< 5
250,male,group A,some high school,standard,completed,47,49,49,married,regularly,no,3,school_bus,05-Oct
251,female,group D,some college,free/reduced,none,71,83,83,married,regularly,yes,5,school_bus,> 10
252,female,group B,some high school,standard,completed,60,70,70,married,sometimes,no,2,school_bus,
253,male,group D,master's degree,standard,none,80,80,72,married,sometimes,yes,2,school_bus,05-Oct
254,male,group D,high school,standard,none,54,52,52,single,regularly,yes,1,,< 5
255,female,group E,some college,standard,none,62,73,70,single,regularly,yes,2,private,05-Oct
256,female,group C,associate's degree,free/reduced,none,64,73,68,married,sometimes,no,2,private,05-Oct
257,male,group C,associate's degree,standard,completed,78,77,77,widowed,,yes,1,school_bus,< 5
258,female,group B,some college,standard,none,70,75,78,married,sometimes,no,3,school_bus,05-Oct
259,female,group C,master's degree,free/reduced,completed,65,81,81,married,sometimes,yes,3,private,< 5
260,female,group C,some high school,free/reduced,completed,64,79,77,single,sometimes,no,4,school_bus,< 5
261,male,group C,some college,standard,completed,79,79,78,married,sometimes,yes,1,school_bus,05-Oct
262,female,group C,some high school,free/reduced,none,44,50,51,widowed,sometimes,no,2,school_bus,05-Oct
263,female,group E,high school,standard,none,99,93,90,divorced,sometimes,no,,private,05-Oct
264,male,group D,high school,standard,none,76,73,68,divorced,regularly,no,3,school_bus,05-Oct
265,male,group D,some high school,free/reduced,none,59,42,41,,never,yes,2,school_bus,05-Oct
266,female,group C,bachelor's degree,standard,none,63,75,81,married,regularly,yes,0,private,< 5
267,female,group D,high school,standard,none,69,72,77,married,never,yes,3,school_bus,05-Oct
268,female,group D,associate's degree,standard,completed,88,92,95,married,regularly,yes,0,private,05-Oct
269,female,group E,some college,free/reduced,none,71,76,70,married,sometimes,no,1,school_bus,< 5
270,male,group C,bachelor's degree,standard,none,69,63,61,single,sometimes,yes,0,,< 5
271,male,group C,some college,standard,none,58,49,42,married,sometimes,yes,1,school_bus,> 10
272,female,group D,associate's degree,free/reduced,none,47,53,58,married,sometimes,no,2,school_bus,05-Oct
273,female,group D,some college,standard,none,65,70,71,married,sometimes,yes,2,private,< 5
274,male,group B,some college,standard,completed,88,85,76,married,never,yes,1,private,05-Oct
275,male,group C,bachelor's degree,standard,none,83,78,73,married,sometimes,yes,,school_bus,> 10
276,female,group C,some high school,standard,completed,85,92,93,single,regularly,yes,3,school_bus,05-Oct
277,female,group E,high school,standard,completed,59,63,75,married,never,yes,1,school_bus,> 10
278,female,group C,some high school,free/reduced,none,65,86,80,widowed,regularly,no,2,school_bus,05-Oct
279,male,group B,bachelor's degree,free/reduced,none,73,56,57,single,regularly,no,1,school_bus,05-Oct
280,male,group D,high school,standard,none,53,52,42,single,regularly,no,2,private,< 5
281,male,group D,high school,standard,none,45,48,46,married,regularly,no,2,,< 5
282,female,group D,bachelor's degree,free/reduced,none,73,79,84,married,never,yes,2,private,< 5
283,female,group D,some college,free/reduced,completed,70,78,78,divorced,regularly,no,4,school_bus,< 5
284,female,group B,some high school,standard,none,37,46,46,single,never,yes,5,school_bus,> 10
285,male,group B,associate's degree,standard,completed,81,82,82,married,regularly,yes,1,school_bus,05-Oct
286,male,group E,associate's degree,standard,completed,97,82,88,married,regularly,yes,2,school_bus,05-Oct
287,female,group B,some high school,standard,none,67,89,82,,sometimes,yes,7,private,05-Oct
288,male,group B,bachelor's degree,free/reduced,none,88,75,76,divorced,regularly,yes,5,private,05-Oct
289,male,group E,some high school,standard,completed,77,76,77,single,regularly,no,2,,05-Oct
290,male,group C,associate's degree,standard,none,76,70,68,married,regularly,no,3,private,> 10
291,male,group D,some high school,standard,none,86,73,70,single,regularly,yes,5,,< 5
292,male,group C,some high school,standard,completed,63,60,57,married,sometimes,no,2,school_bus,05-Oct
293,female,group E,bachelor's degree,standard,none,65,73,75,married,never,yes,3,school_bus,< 5
294,male,group D,high school,free/reduced,completed,78,77,80,single,sometimes,yes,0,private,
295,male,group B,associate's degree,free/reduced,none,67,62,60,single,sometimes,yes,2,private,> 10
296,male,group A,some high school,standard,completed,46,41,43,married,regularly,no,3,private,05-Oct
297,male,group E,associate's degree,standard,completed,71,74,68,widowed,never,yes,3,private,05-Oct
298,male,group C,high school,free/reduced,completed,40,46,50,single,sometimes,no,1,school_bus,05-Oct
299,male,group D,associate's degree,free/reduced,none,90,87,75,married,sometimes,yes,,private,< 5
300,male,group A,some college,free/reduced,completed,81,78,81,single,regularly,no,1,school_bus,< 5
301,male,group D,some high school,free/reduced,none,56,54,52,divorced,sometimes,yes,2,,< 5
302,female,group C,associate's degree,standard,completed,67,84,81,married,never,no,3,private,> 10
303,male,group B,associate's degree,standard,none,80,76,64,married,regularly,yes,2,private,< 5
304,female,group C,associate's degree,standard,completed,74,75,83,married,sometimes,yes,5,private,05-Oct
305,male,group A,some college,standard,none,69,67,69,divorced,sometimes,no,1,,< 5
306,male,group E,some college,standard,completed,99,87,81,single,sometimes,yes,3,school_bus,05-Oct
307,male,group C,some high school,standard,none,51,52,44,married,sometimes,yes,1,school_bus,05-Oct
308,female,group B,associate's degree,free/reduced,none,53,71,67,married,regularly,yes,2,school_bus,> 10
309,female,group D,high school,free/reduced,none,49,57,52,married,sometimes,yes,5,school_bus,05-Oct
310,female,group B,associate's degree,standard,none,73,76,80,married,sometimes,yes,2,school_bus,< 5
311,male,group B,bachelor's degree,standard,none,66,60,57,single,regularly,yes,,school_bus,< 5
312,male,group D,bachelor's degree,standard,completed,67,61,68,,sometimes,no,3,private,< 5
313,female,group C,associate's degree,free/reduced,completed,68,67,69,married,never,no,3,school_bus,> 10
314,female,group C,bachelor's degree,standard,completed,59,64,75,single,sometimes,yes,1,school_bus,05-Oct
315,male,group C,high school,standard,none,71,66,65,,sometimes,yes,1,,
316,female,group D,master's degree,standard,completed,77,82,91,married,regularly,yes,2,,05-Oct
